service_id,date,exception_type
IDFM:TN:5950157,20240702,1
IDFM:TN:5950157,20240701,1
IDFM:TN:5950186,20240621,1
IDFM:TN:5950186,20240627,2
IDFM:TN:5950186,20240626,2
IDFM:TN:5950186,20240625,2
IDFM:TN:5950186,20240624,2
IDFM:TN:5950310,20240626,2
IDFM:TN:5950310,20240625,2
IDFM:TN:5950311,20240626,2
IDFM:TN:5950314,20240702,2
IDFM:TN:5950422,20240628,2
IDFM:TN:5950478,20240626,1
IDFM:TN:5950478,20240625,1
IDFM:TN:5950478,20240703,1
IDFM:TN:5950478,20240702,1
IDFM:TN:5950487,20240613,2
IDFM:TN:5950487,20240612,2
IDFM:TN:5950487,20240611,2
IDFM:TN:5950487,20240621,1
IDFM:TN:5950487,20240627,2
IDFM:TN:5950487,20240626,2
IDFM:TN:5950487,20240625,2
IDFM:TN:5950487,20240624,2
IDFM:TN:5950541,20240621,2
IDFM:TN:5950541,20240626,2
IDFM:TN:5950541,20240625,2
IDFM:TN:5950541,20240624,2
IDFM:TN:5950541,20240704,1
IDFM:TN:5950542,20240703,2
IDFM:TN:5950542,20240702,2
IDFM:TN:5950552,20240620,2
IDFM:TN:5950554,20240621,1
IDFM:TN:5950554,20240626,1
IDFM:TN:5950554,20240625,1
IDFM:TN:5950554,20240624,1
IDFM:TN:5950601,20240609,1
IDFM:TN:5950648,20240608,1
IDFM:TN:5950669,20240622,1
IDFM:TN:5950780,20240614,2
IDFM:TN:5950780,20240620,1
IDFM:TN:5950780,20240619,1
IDFM:TN:5950780,20240618,1
IDFM:TN:5950780,20240617,1
IDFM:TN:5950780,20240627,1
IDFM:TN:5950780,20240626,1
IDFM:TN:5950780,20240625,1
IDFM:TN:5950780,20240624,1
IDFM:TN:5950791,20240622,1
IDFM:TN:5950899,20240623,2
IDFM:TN:5950899,20240622,2
IDFM:TN:5950920,20240622,2
IDFM:TN:5950926,20240621,1
IDFM:TN:5950926,20240623,2
IDFM:TN:5950926,20240622,2
IDFM:TN:5950999,20240623,1
IDFM:TN:5950999,20240621,2
IDFM:TN:5951151,20240622,2
IDFM:TN:5951590,20240621,2
IDFM:TN:5951590,20240619,2
IDFM:TN:5951590,20240618,2
IDFM:TN:5951590,20240617,2
IDFM:TN:5951591,20240609,2
IDFM:TN:5951591,20240608,2
IDFM:TN:5951591,20240701,2
IDFM:TN:5951592,20240609,2
IDFM:TN:5951592,20240608,2
IDFM:TN:5951592,20240610,1
IDFM:TN:5951592,20240621,2
IDFM:TN:5951592,20240619,2
IDFM:TN:5951592,20240618,2
IDFM:TN:5951592,20240624,1
IDFM:TN:5951593,20240609,2
IDFM:TN:5951593,20240608,2
IDFM:TN:5951593,20240610,1
IDFM:TN:5951593,20240624,1
IDFM:TN:5951621,20240621,1
IDFM:TN:5951621,20240619,1
IDFM:TN:5951621,20240618,1
IDFM:TN:5951621,20240624,2
IDFM:TN:5951622,20240624,2
IDFM:TN:5951725,20240609,2
IDFM:TN:5951725,20240608,2
IDFM:TN:5951725,20240621,2
IDFM:TN:5951725,20240619,2
IDFM:TN:5951725,20240618,2
IDFM:TN:5951725,20240701,2
IDFM:TN:5951726,20240701,2
IDFM:TN:5951733,20240701,1
IDFM:TN:5951744,20240609,1
IDFM:TN:5951744,20240608,1
IDFM:TN:5951744,20240621,2
IDFM:TN:5951801,20240609,2
IDFM:TN:5951801,20240608,2
IDFM:TN:5951801,20240619,2
IDFM:TN:5951859,20240609,2
IDFM:TN:5951859,20240608,2
IDFM:TN:5951859,20240621,2
IDFM:TN:5951859,20240619,2
IDFM:TN:5951859,20240618,2
IDFM:TN:5951859,20240617,2
IDFM:TN:5952102,20240609,2
IDFM:TN:5952291,20240616,2
IDFM:TN:5952291,20240615,2
IDFM:TN:5952291,20240619,2
IDFM:TN:5952299,20240616,2
IDFM:TN:5952299,20240615,2
IDFM:TN:5952307,20240616,2
IDFM:TN:5952307,20240615,2
IDFM:TN:5952307,20240621,1
IDFM:TN:5952308,20240616,2
IDFM:TN:5952308,20240622,1
IDFM:TN:5952308,20240617,2
IDFM:TN:5952530,20240703,2
IDFM:TN:5952531,20240612,1
IDFM:TN:5952531,20240626,1
